,Unnamed: 0,id_unic,business_id,local_name,category,main_category,opinion,feeling,resp,has_response,states,city
2672,2672,115639375,0x864dd66579aa1621:0x5d1cfaa16729801,Jet’s Pizza,pizza delivery    caterer    pizza restaurant,food_services,"The phone skills when taking orders could be better, it took longer than necessary to order a pizza. We picked up for carry out order and it smelled really bad inside. The service was good once inside and food was good.",Positive,did not answer,no,TX, North Richland Hills
2673,2673,113126034,0x864dddcbbc22cbe1:0x544591a4436c73a,Bug Tub Seafood Kitchen,restaurant,food_services,"Prices do not justify what you receive on the fried items. Especially the 3-1-3 menu item. $17.95 ouch! . The breading and spices were pretty good on what I got, there was no pepprochini served with my beans and rice. A cajun no-no, no cornbread either. Well their new so I hope it gets better, plan to try a few other items.",Positive,did not answer,no,TX, Fort Worth
2674,2674,114789579,0x864de9886c64fc09:0xbea221c506afa84,El Gallo Alegre,restaurant,food_services,Me and my family come here all the time and there service is terrific especially since it’s a family restaurant having younger workers. There tacos are definitely spot on and they have amazing cuts on there steaks. We love this place and hope to come back soon.,Positive,Thank you!!! My family/ Team and I appreciate your support.,si,TX, Rhome
2675,2675,117459106,0x864e0cd297a0486f:0x51a3870f2b4a6f4,Ricks Cabaret Fort Worth,adult entertainment club    night club    restaurant,food_services,"I enjoyed my time here. Also, the women were all very attractive.",Positive,did not answer,no,TX, Fort Worth
2676,2676,100487074,0x864e204d99b08401:0xc150b83b4db2a39,Nizza Pizza,pizza restaurant    restaurant,food_services,Its real pizza / deal,Positive,did not answer,no,TX, Granbury
2677,2677,113235763,0x864e207e6f40cbd9:0x75c39de223c75e1,Tropical Breeze Nutrition Club,health food restaurant    breakfast restaurant    club    coaching center    health consultant    juice shop    life coach    lunch restaurant    vitamin   supplements store    weight loss service,food_services,Been in twice now and im beyond thrilled Christina stopped me on my way to buy a soda. The smoothies are amazing and i absolutely adore how friendly she is. Cant wait to see the results and health benefits. Make sure you stop by triple berry smoothie with a hydrating lemon tea after is the best.!!,Positive,Thank You ...It was our pleasure to serve you and your mom and Your son is adorable!!!,si,TX, Granbury
2678,2678,113290864,0x864e62dbf6034d49:0x2736b397317f154,Famous Cajun Grill,grill    cajun restaurant    restaurant,food_services,The noodles were fresh the jerk chicken was delicious,Positive,did not answer,no,TX, Arlington
2679,2679,112140275,0x864e6613283b00d1:0x1cdaa21940d3ad9,Sam's Grill & Bar,bar   grill    american restaurant    bar    breakfast restaurant    family restaurant    hamburger restaurant    lunch restaurant    restaurant    sports bar,food_services,"Great place, great food, reasonable prices, fun atmosphere, yall should come check this place out! Friendly staff clean pool room, digital music player.",Positive,did not answer,no,TX, Fort Worth
2680,2680,103276469,0x864e6613283b00d1:0x1cdaa21940d3ad9,Sam's Grill & Bar,bar   grill    american restaurant    bar    breakfast restaurant    family restaurant    hamburger restaurant    lunch restaurant    restaurant    sports bar,food_services,"This place is top notch. So far Ive been very happy with the burger, wings, fries, and especially the fried jalapenos. Fantastic service all around as well.",Positive,did not answer,no,TX, Fort Worth
2681,2681,10634395,0x864e6613283b00d1:0x1cdaa21940d3ad9,Sam's Grill & Bar,bar   grill    american restaurant    bar    breakfast restaurant    family restaurant    hamburger restaurant    lunch restaurant    restaurant    sports bar,food_services,"I took my beautiful wife here because it was right around corner from our house. We ordered mozzarella sticks, and a turkey club to share. The mozzarella sticks were very tasty and enough for sharing between 3 or 4 people. The club had a good serving of turkey and a pesto mayo that my wife really liked, the lettuce and tomato were fresh and the sourdough nicely toasted. The atmosphere is friendly with great music. The cook came out to meet us after dinner as well, what a super guy!!! We will be back to try the chicken fried steak with out soon on a Thursday for sure😁.",Positive,did not answer,no,TX, Fort Worth
2682,2682,117174185,0x864e6de3ed220ae7:0xad7574aa787635e,QuikTrip,gas station    beer store    breakfast restaurant    convenience store    snack bar,food_services,order a blt sanwich and a croasant when my order was ready it turns out that the printer does not work wow I went to pay other things and they only charged me the croasant and not the blt sanwich and thinking that it was already paid it turned out that in the end it was not. I went again with the cashier to pay for the blt sanwich and to my surprise my order was not complete and even so I paid for something that was not included in my order it is the second time it happens to me I have 2 questions with so much money that THE STORE won is able to buy a printer that works well because it had already happened before and is a problem when paying for sawich or croasant or any thing done in the kitchen and when the order is not complete with whom speak when the employee of the kitchen you think you hear and in the end just ignores you 🤤,Positive,did not answer,no,TX, Fort Worth
2684,2684,112022536,0x864e6ff9cb3ac33f:0xd4243795b674c0e,El Torito Texas,mexican restaurant    hamburger restaurant,food_services,(Translated by Google) Very rich (Original) Muy rico,Positive,did not answer,no,TX, Fort Worth
2685,2685,107701153,0x864e718c43cf87f3:0xaff3bad77ae4c61,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,Very good but a bit pricey,Positive,did not answer,no,TX, Fort Worth
2686,2686,104379981,0x864e718c43cf87f3:0xaff3bad77ae4c61,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,Awesome service sometime a lil slow food is the💣,Positive,did not answer,no,TX, Fort Worth
2687,2687,104301351,0x864e718c43cf87f3:0xaff3bad77ae4c61,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,(Translated by Google) The variation of their exquisite dishes (Original) La variación de sus platillos exquisita,Positive,did not answer,no,TX, Fort Worth
2688,2688,112476448,0x864e74e227161b09:0xcd997d58a15d612,Bodeen's Bbq,barbecue restaurant,food_services,Unfortunately right now theyre remodeling due to a fire,Positive,did not answer,no,TX, Fort Worth
2689,2689,109976307,0x864e74e227161b09:0xcd997d58a15d612,Bodeen's Bbq,barbecue restaurant,food_services,Great chopped brisket but very expensive,Positive,Thank you Robert we appreciate your feedback our prices are benchmarked with other BBQ restaurants in the DFW area we serve a quality meat and smoke to perfection you will never get a bunch of fat in our chopped brisket it is always melt in your mouth delicious thank you for your business and we look forward to serving you again come try our WORKS burrito its huge and has brisket in it,si,TX, Fort Worth
2690,2690,116979568,0x864e77ea88010557:0x9265094c37b4187,Lupito’s taqueria,mexican restaurant    delivery restaurant,food_services,Their steak burrito is great,Positive,did not answer,no,TX, Haltom City
2691,2691,111613737,0x864e77ea88010557:0x9265094c37b4187,Lupito’s taqueria,mexican restaurant    delivery restaurant,food_services,(Translated by Google) My People here is the good thing! Both in prices and food !!! And your customer service is exceptional !!! Food is bomb AF !! And prices are good specially for the portion of food they serve !! 💯😁🇲🇽 (Original) Mi Gente aquí está lo bueno!! Ambos en precios y comida!!! Y su servicio de cliente es excepcional!!! Food is bomb AF!! And prices are good specially for the portion of food they serve!!💯😁🇲🇽,Positive,did not answer,no,TX, Haltom City
2692,2692,101645393,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"Good quality food, yet pricey! Wish the cole slaw came with baskets instead of being extra, cater to your customers. Margaritas are a bit acidic, ask for easy ice otherwise thats all youll get. :/",Positive,did not answer,no,TX, TX 76010
2694,2694,100392141,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Great service and food beers a little pricey i really think you would sell more if beer prices come down,Positive,did not answer,no,TX, TX 76010
2695,2695,101928152,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Food and service was great.,Positive,did not answer,no,TX, TX 76010
2696,2696,1180983,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"We visited on a Tuesday evening, great counter service. We ended up ordering fried calamari as an appetizer, oysters on the half shell, and grilled red snapper. Everything tasted fresh and hot. A must stop in Arlington.",Positive,did not answer,no,TX, TX 76010
2697,2697,111057926,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"Good seafood in a casual atmosphere. Plus, all the ketchup, tartar, & cocktail sauce you can eat. 🐟🐠🐡🦈🐙🦐🦑🦞🦀",Positive,did not answer,no,TX, TX 76010
2698,2698,101738821,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Bennett here several times over the past few years. Great food and friendly atmosphere.,Positive,did not answer,no,TX, TX 76010
2699,2699,106256209,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,(Translated by Google) Delicious place (Original) Delicioso lugar,Positive,did not answer,no,TX, TX 76010
2700,2700,10786281,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Good food at moderate prices,Positive,did not answer,no,TX, TX 76010
2701,2701,114127893,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Fabulous food fabulous prices great atmosphere I could not ask for anything better,Positive,did not answer,no,TX, TX 76010
2702,2702,107799972,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Food is so good and its not expensive,Positive,did not answer,no,TX, TX 76010
2703,2703,111034332,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,The food was excellent!! Big pieces of shrimp and fish and the margaritas get the job done!!,Positive,did not answer,no,TX, TX 76010
2705,2705,116254734,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Great fish everytime we go the fish tacos are Awesome,Positive,did not answer,no,TX, TX 76010
2706,2706,106713799,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Good seafood good atmosphere,Positive,did not answer,no,TX, TX 76010
2707,2707,113566697,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Excellent meal. Atmosphere is casual. Folks are friendly. Place is noisy.,Positive,did not answer,no,TX, TX 76010
2708,2708,115894232,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Delicious seafood in an excellent atmosphere,Positive,did not answer,no,TX, TX 76010
2709,2709,104768228,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"Everything weve ordered has been good, especially the trout almondine, snappy style. Only weak point is the selection of tap beers.",Positive,did not answer,no,TX, TX 76010
2710,2710,117149373,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Great food cool environment,Positive,did not answer,no,TX, TX 76010
2711,2711,118016618,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"Very good fried catfish, although a bit pricey for the serving size.",Positive,did not answer,no,TX, TX 76010
2713,2713,105360626,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Great fresh seafood,Positive,did not answer,no,TX, TX 76010
2714,2714,106560806,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Great food.,Positive,did not answer,no,TX, TX 76010
2715,2715,11660942,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"Great service, good taste and comfortable setting",Positive,did not answer,no,TX, TX 76010
2716,2716,106029904,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Food was delicious,Positive,did not answer,no,TX, TX 76010
2717,2717,108804331,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Ive never had a bad meal. The salmon is cooked to perfection. The chicken was wonderful. The fried shrimp is great. Its been over a year since we ate there and i wasnt disappointed going back. You can eat inside or outside. Love love love,Positive,did not answer,no,TX, TX 76010
2718,2718,103277887,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,great food,Positive,did not answer,no,TX, TX 76010
2719,2719,107830853,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"Flying Fish is a bit on the pricy side, but after all it is seafood. Its very good! I can always count on them to have the best shrimp and catfish. We also just tried their jambalaya for the first time and it was great.",Positive,did not answer,no,TX, TX 76010
2721,2721,108957514,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Good food and fun atmosphere. No table service. You order at the cashier station.,Positive,did not answer,no,TX, TX 76010
2722,2722,104179385,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"We are trying to figure out why people like this place. It was dirty, the food was over cooked, salty, greasy, and downright inedible. We love good seafood and certainly didnt get it here.",Positive,did not answer,no,TX, TX 76010
2724,2724,116981134,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Deep fried sea food and its very good.,Positive,did not answer,no,TX, TX 76010
2725,2725,106941286,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"Always serve good, hot, fresh fish!",Positive,did not answer,no,TX, TX 76010
2726,2726,112149113,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"Their grilled fish was excellent! Staffs are kind. Restaurant and bathroom are clean. They have rear parking space, so parking wasnt a problem We loved their interesting decorations. They have a ways to give you a free meal after a certain number of meal. (I didnt pay much attention about it, and later on my husband told me, so Im just mentioning it here for other peoples future visit) Im giving 4 star because the the meal came with rice or fry, and I wish they were more low carb and keto friendly, so it comes with something else. Generally it was great, and definitely we are going back to this place!!! (Attached photos are decorations in womens restroom)",Positive,did not answer,no,TX, TX 76010
2727,2727,111952133,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,"Simple, yet good wholesome seafood for reasonable prices. Low key and casual. I just wish this place was up the road from my house.",Positive,did not answer,no,TX, TX 76010
2728,2728,106098244,0x864e7d7097b1c4a5:0x2550097e6747522,Flying Fish,seafood restaurant    american restaurant    cajun restaurant    family restaurant,food_services,Always great and the service is phenomenal.,Positive,did not answer,no,TX, TX 76010
2729,2729,115682255,0x864e7dc789be7ad1:0xec11168e2727725,Coney Island Hot Weiners,hot dog restaurant,food_services,"Just like back home! I grew up in Tulsa loving these little hot dogs. Its nice to have them available here. Dang, now I have to go home just to visit family😆 Great service, friendly people.",Positive,did not answer,no,TX, Arlington
2730,2730,111543413,0x864e98910c8251ef:0x50d58265ddbd561,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,"Always good, always positive, Sybil gave me amazing service. Whole crew needs higher pay",Positive,Thanks for spending a part of your day with the Golden Chick family. We appreciate your awesome review and hope to see you again soon!,si,TX, Dallas
2732,2732,10513703,0x864e98910c8251ef:0x50d58265ddbd561,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,Im only giving starts cause the food was fresh WRONG but fresh tbey dont listen!!!,Positive,did not answer,no,TX, Dallas
2733,2733,105439254,0x864e98910c8251ef:0x50d58265ddbd561,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,Omg good was so bomb!!!,Positive,did not answer,no,TX, Dallas
2734,2734,117834211,0x864e98910c8251ef:0x50d58265ddbd561,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,"The food is ok but dont expect the staff to be nice or professional or accurate or fast...basically, dont eat here",Positive,did not answer,no,TX, Dallas
2735,2735,106142057,0x864e98910c8251ef:0x50d58265ddbd561,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,Nice location,Positive,Hello Jennifer — were so glad you enjoyed it. Cheers!,si,TX, Dallas
2736,2736,117409545,0x864e98910c8251ef:0x50d58265ddbd561,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,its ok,Positive,"Hi, Gerald. Thanks for dining with us and sharing your feedback. We hope to see you again soon.",si,TX, Dallas
2737,2737,109838458,0x864e98910c8251ef:0x50d58265ddbd561,Golden Chick,american restaurant    caterer    fast food restaurant    takeout restaurant,food_services,My food was perfect!!!!!,Positive,did not answer,no,TX, Dallas
2738,2738,10323978,0x864e9921e01f3b2d:0xcfe8fdfbc515482,A&W Restaurant,fast food restaurant    american restaurant    hamburger restaurant,food_services,Love how everythings made fresh in front of you.,Positive,"We appreciate the kind words, Ale. V.! Stop by and see us again soon. :)",si,TX, Dallas
2740,2740,111414527,0x864e99230b4a8ba9:0x71a1a8a2da64d57,Stephan Pyles,cafe    restaurant,food_services,"Well, this place is pretty heavy, so lets go blow-by-blow: Reservations: We had one for two, but we wanted five a bit later. We couldnt change them, but we arrived only to find that there were a couple of tables readily available that could have been used for five, so they are a bit prohibitive in this respect. Know your numbers for sure when you make one. Server: Our gentleman was quite nice and very accommodating for all our peculiar questions and requests (yes: Im that guy), but his wine chops are a bit lacking. When he was describing a Napa Artistry meritage, he tried to say that Petit Verdot mellowed out the wine, whereas PV is almost never a mellowing grape in blends, but a grape that gave our selection a bit more tannic backbone. He was quite excellent in his description of the food, however, and he took good care of us for the evening. Food: The amuse bouche needs work, Stephan: it was a bit too understated, and the crystallized fruit was not very effective. The appetizer we ordered was the foie gras with pop rocks selection. While I loved the flavor and texture of both, there was too large a serving of the custard portion. About half would be great (Im not the typical American). The pork tenderloin we had was simply splendid, however, and the portion was quite perfect. Get the coffee and doughnuts dessert: it will rock your world! Wine: The list was varied and well-spaced, albeit a bit one-sided from what we saw (heavily American and lacking in Latin-American labels, considering Pyless rep for that cuisine). We had sparkling rose with the foie and Artistry with the main course. Both matched very well. Overall, I would recommend going to this restaurant if you have $200 or so for a great meal. The prices are as you would expect for the food, although I think there are still a couple of holes with regard to the service, the front desk, and the wine menu. One shouldnt expect Charlie Trotter or the French Room here, but its not a far cry from being one of the best in Dallas.",Positive,did not answer,no,TX, Dallas
2741,2741,115894719,0x864e99256b355885:0xdd6ed5b23ce4517,N'awlins Seafood Sports Bar,restaurant,food_services,Great service. Great food. Great atmosphere.,Positive,did not answer,no,TX, Dallas
2742,2742,118385106,0x864e99256b355885:0xdd6ed5b23ce4517,N'awlins Seafood Sports Bar,restaurant,food_services,Great atmosphere. Excellent food. Awesome live music. Perfect staff!,Positive,did not answer,no,TX, Dallas
2743,2743,10646739,0x864e99256b355885:0xdd6ed5b23ce4517,N'awlins Seafood Sports Bar,restaurant,food_services,"Tasty food and great service. Would love to give 5 stars, but have had better cajun food at other restaurants. My friend from New Orleans who joined me agreed with my review. Would definitely eat here again.",Positive,did not answer,no,TX, Dallas
2746,2746,104237538,0x864e998219e6b3d7:0x121ebd0d8453d87,A Taste of Way's & Catering,restaurant,food_services,I love it,Positive,did not answer,no,TX, Dallas
2747,2747,109727537,0x864e998219e6b3d7:0x121ebd0d8453d87,A Taste of Way's & Catering,restaurant,food_services,"I had their food today, The food was okay, it’s not worth 19.51",Positive,did not answer,no,TX, Dallas
2748,2748,103653069,0x864e998219e6b3d7:0x121ebd0d8453d87,A Taste of Way's & Catering,restaurant,food_services,More than delicious. Black owned n operated. Deserves 10 stars for sure.,Positive,did not answer,no,TX, Dallas
2749,2749,107481161,0x864e998219e6b3d7:0x121ebd0d8453d87,A Taste of Way's & Catering,restaurant,food_services,"Awesome food, great customer service!",Positive,did not answer,no,TX, Dallas
2750,2750,115245413,0x864e998219e6b3d7:0x121ebd0d8453d87,A Taste of Way's & Catering,restaurant,food_services,"Good music, DE-LI-CIOUS food, & southern hospitality.",Positive,did not answer,no,TX, Dallas
2752,2752,111065016,0x864e99f881fd1bef:0xf6998d11584c502,Burger King,restaurant    fast food restaurant,food_services,If you have a large order you better go inside. I had an order for 30.00 and they spent 5 minutes announcing it to the other employees. So not necessary.. To many children work here,Positive,did not answer,no,TX, Dallas
2753,2753,109943558,0x864e99f881fd1bef:0xf6998d11584c502,Burger King,restaurant    fast food restaurant,food_services,(Translated by Google) Great service (Original) Buen servicio,Positive,did not answer,no,TX, Dallas
2755,2755,104341245,0x864e99f881fd1bef:0xf6998d11584c502,Burger King,restaurant    fast food restaurant,food_services,Half of the order was wrong. Its been over a year since the last day I came and that was because they took forever. I like the burgers but for the price they should have way better service. If Im going to spend that much I might as well go to Chick-fil-A and get better food and service. Last time getting Burger King ever.,Positive,did not answer,no,TX, Dallas
2756,2756,114239344,0x864e99f881fd1bef:0xf6998d11584c502,Burger King,restaurant    fast food restaurant,food_services,Good food and service ..,Positive,did not answer,no,TX, Dallas
2757,2757,116827038,0x864e99f881fd1bef:0xf6998d11584c502,Burger King,restaurant    fast food restaurant,food_services,Good,Positive,did not answer,no,TX, Dallas
2758,2758,104914562,0x864e99f881fd1bef:0xf6998d11584c502,Burger King,restaurant    fast food restaurant,food_services,"Excellent service and friendly atmosphere, I loved and enjoy taking my kids to this place, the staff is wonderful and friendly.",Positive,did not answer,no,TX, Dallas
2759,2759,112453833,0x864e99f881fd1bef:0xf6998d11584c502,Burger King,restaurant    fast food restaurant,food_services,Super place for Food. Staff is professional!,Positive,did not answer,no,TX, Dallas
2760,2760,114788318,0x864e99f881fd1bef:0xf6998d11584c502,Burger King,restaurant    fast food restaurant,food_services,Great tasting burger.,Positive,did not answer,no,TX, Dallas
2761,2761,104142948,0x864e99f881fd1bef:0xf6998d11584c502,Burger King,restaurant    fast food restaurant,food_services,The service was pretty good. The food was hot and didnt have to wait long for my food.,Positive,did not answer,no,TX, Dallas
2763,2763,113653952,0x864e9a7f6d598401:0x449d09dc84a1b69,Tia Estella,mexican restaurant,food_services,Good,Positive,did not answer,no,TX, Dallas
2764,2764,108404351,0x864e9a7f6d598401:0x449d09dc84a1b69,Tia Estella,mexican restaurant,food_services,It was good but seating is crowded and food was kinda cold but they were understanding and heated it up,Positive,did not answer,no,TX, Dallas
2765,2765,117586959,0x864e9a7f6d598401:0x449d09dc84a1b69,Tia Estella,mexican restaurant,food_services,Their food was excellent and flavor waitress very attentive with service.,Positive,did not answer,no,TX, Dallas
2766,2766,102361014,0x864e9a7f6d598401:0x449d09dc84a1b69,Tia Estella,mexican restaurant,food_services,(Translated by Google) The food is very rich just made that is why it takes a little but it is not much as you exaggerate good service you feel at home.🤗🤗🤗 (Original) La comida es muy rica recien hecha por eso es que tarda un poco pero no es mucho como le exageran buen servicio te sientes como en casa.🤗🤗🤗,Positive,did not answer,no,TX, Dallas
2767,2767,113968163,0x864e9a7f6d598401:0x449d09dc84a1b69,Tia Estella,mexican restaurant,food_services,"(Translated by Google) Delicious food, take a moment to deliver the order, but if you want fast food, go to the macdonals 😂 (Original) Rica la comida, echa al momento un poco lento para entregar la orden, pero sii quisiera comida rapida fuera al macdonals 😂",Positive,did not answer,no,TX, Dallas
2768,2768,108494989,0x864e9a7f6d598401:0x449d09dc84a1b69,Tia Estella,mexican restaurant,food_services,Love their fajita tacos,Positive,did not answer,no,TX, Dallas
2769,2769,110389303,0x864e9a7f6d598401:0x449d09dc84a1b69,Tia Estella,mexican restaurant,food_services,(Translated by Google) Well (Original) Bien,Positive,did not answer,no,TX, Dallas
2770,2770,112321962,0x864e9a7f6d598401:0x449d09dc84a1b69,Tia Estella,mexican restaurant,food_services,(Translated by Google) Good food (Original) Buena comida,Positive,did not answer,no,TX, Dallas
2771,2771,10021126,0x864e9a7f6d598401:0x449d09dc84a1b69,Tia Estella,mexican restaurant,food_services,(Translated by Google) Original Michoacan food! Tortillas made by hand. Battered sabross (Original) Comida michoacana original! Tortillas echas a mano. Aporreado sabross,Positive,did not answer,no,TX, Dallas
2775,2775,115877392,0x864e9b19ed4f2257:0x96751a6a7202da3,Burger King,restaurant    fast food restaurant,food_services,"The girl working the window was great. Food was hot, correct, and she even covered it from the rain.",Positive,did not answer,no,TX, Dallas
2776,2776,100680149,0x864e9b19ed4f2257:0x96751a6a7202da3,Burger King,restaurant    fast food restaurant,food_services,Great food and decent prices,Positive,did not answer,no,TX, Dallas
2777,2777,114349492,0x864e9b19ed4f2257:0x96751a6a7202da3,Burger King,restaurant    fast food restaurant,food_services,Need more customer service. Should stay open 24 hrs,Positive,did not answer,no,TX, Dallas
2778,2778,104445479,0x864e9b19ed4f2257:0x96751a6a7202da3,Burger King,restaurant    fast food restaurant,food_services,Food good. A bit slow in service.,Positive,did not answer,no,TX, Dallas
2779,2779,114188356,0x864e9d3ade1b3ed7:0xb250562893330e3,QuikTrip,gas station    beer store    breakfast restaurant    convenience store    snack bar,food_services,"Very professional staff, clean bathrooms!",Positive,did not answer,no,TX, Dallas
2780,2780,111751683,0x864e9d3ade1b3ed7:0xb250562893330e3,QuikTrip,gas station    beer store    breakfast restaurant    convenience store    snack bar,food_services,"This QT has always made the best food of all the QT Kitchens that I have ever tried... you can tell in just the presentation of the food and the caringness of the employees.... which makes a big difference whenever youre ordering fresh food... its not just slopped together and thrown in the bag.... WAY TO GO...QT-1935..!!!! Veggie Grilled Cheese n Eggs....kicked up a couple notches, well worth the slight upcharge!",Positive,did not answer,no,TX, Dallas
2781,2781,107873644,0x864e9da1ce877e39:0x2992f74dc0a179c,Taqueria 24 7,mexican restaurant,food_services,(Translated by Google) Very good (Original) Muy bien,Positive,did not answer,no,TX, Dallas
2782,2782,10052678,0x864e9da58d17d64b:0xb96d4541e18b778,A Donuts,donut shop    breakfast restaurant,food_services,Great service!,Positive,did not answer,no,TX, Dallas
2783,2783,107571496,0x864e9eb556dc9c7f:0x851efd0fdd431cb,Exxon,gas station    atm    car wash    convenience store    fast food restaurant,food_services,ATM without fees...in a gas station. Thats a first!,Positive,did not answer,no,TX, Dallas
2785,2785,103166093,0x864e9ec9c90e8d7b:0x7892c139d294c35,Cedar Grove,american restaurant    bar    brunch restaurant    restaurant    seafood restaurant    wine bar,food_services,Love this place!,Positive,did not answer,no,TX, Dallas
2786,2786,103747855,0x864e9ec9c90e8d7b:0x7892c139d294c35,Cedar Grove,american restaurant    bar    brunch restaurant    restaurant    seafood restaurant    wine bar,food_services,Great environment n good food.,Positive,did not answer,no,TX, Dallas
2787,2787,107142349,0x864e9eee46cab519:0x55b327e2086dd06,K.T. Burger,hamburger restaurant    restaurant,food_services,"Fits right in, next to movie. sports bar neighborhood style. I liked the chicken salad sandwich with good home made potato chips iced sweet tea and mint chip ice cream.",Positive,did not answer,no,TX, Dallas
2788,2788,110204351,0x864e9f119effe16b:0xb27a6a14ba97a8e,Smashburger,hamburger restaurant    american restaurant    fast food restaurant    restaurant,food_services,"The guy bringing the food to the table is great, great customer service. Great food. The Cashier was horrible. I would have given five stars if not for the Cashier.",Positive,did not answer,no,TX, Dallas
2789,2789,110014063,0x864e9f119effe16b:0xb27a6a14ba97a8e,Smashburger,hamburger restaurant    american restaurant    fast food restaurant    restaurant,food_services,"Oh man. Ive worked in this complex for 11 years. Smashburger was great when it first went it, with the occasional new location hiccups and delays. Those delays have continually increased, and while the food quality is usually good, every once in a while youll get a burned patty or cold fries. The staff is on a rotating door. I never see anyone here more than three months. I dont know where the managers are, but the incorrect orders, unfriendly to rude staff, long food waits and lost orders - what are you guys doing? Why does it take you 40 minutes to make a single grilled chicken sandwich?",Positive,did not answer,no,TX, Dallas
